Name,FTF,BSF,BPFO,BPFI
BL221,0.41,2.64,6.13,8.87
BL222,0.41,2.62,6.12,8.88
BL304,0.37,1.76,3.68,6.32
BL3/22,0.37,1.76,3.68,6.32
BL305,0.37,1.83,3.72,6.28
BL3/28,0.37,1.76,3.68,6.32
BL306,0.39,2.07,4.24,6.76
BL3/32,0.38,2.01,4.21,6.79
BL307,0.38,2.01,4.59,7.41
BL308,0.38,1.93,4.16,6.84
BL309,0.38,2,4.2,6.8
BL310,0.38,2.04,4.22,6.78
BL311,0.38,2.04,4.61,7.39
BL312,0.38,2.05,4.61,7.39
BL313,0.38,2.04,4.61,7.39
BL314,0.38,2.05,4.61,7.39
BL315,0.39,2.06,4.62,7.38
BL316,0.39,2.07,4.63,7.37
BL317,0.39,2.08,4.63,7.37
BL318,0.39,2.09,4.64,7.36
BL319,0.39,2.1,4.64,7.36
BL320,0.38,2.04,4.61,7.39
BL322,0.38,2.02,4.6,7.4
7000,0.38,1.77,3.08,4.92
7001,0.4,2.07,3.6,5.4
7002,0.41,2.4,4.54,6.46
7003,0.41,2.27,4.08,5.92
7004,0.41,2.4,4.54,6.46
7005,0.42,2.77,5.51,7.49
7006,0.43,2.95,5.99,8.01
7007,0.43,3,6.44,8.56
7008,0.44,3.35,7.42,9.58
7009,0.44,3.39,7.43,9.57
7010,0.44,3.68,8.4,10.6
7011,0.44,3.46,7.89,10.11
7012,0.44,3.71,8.41,10.59
7013,0.45,3.95,9.36,11.64
7014,0.44,3.74,8.86,11.14
7015,0.45,3.95,9.36,11.64
7016,0.44,3.75,8.86,11.14
7017,0.45,3.94,9.36,11.64
7018,0.44,3.77,8.87,11.13
7019,0.45,3.94,9.36,11.64
7020,0.45,4.1,9.85,12.15
7021,0.45,3.93,9.36,11.64
7022,0.44,3.79,8.87,11.13
7024,0.45,4.07,9.39,11.61
7026,0.45,3.95,9.36,11.64
7028,0.45,4.2,9.88,12.12
7030,0.45,4.18,9.87,12.13
7032,0.45,4.16,9.87,12.13
7034,0.45,3.94,9.36,11.64
7036,0.44,3.77,9.31,11.69
7038,0.45,3.93,9.8,12.2
7040,0.44,3.78,9.31,11.69
7200,0.4,2.04,4,6
7201,0.39,1.89,3.91,6.09
7202,0.39,1.87,3.9,6.1
7203,0.39,1.92,4.32,6.68
7204,0.4,2.09,4.41,6.59
7205,0.41,2.39,5.36,7.64
7206,0.41,2.36,5.35,7.65
7207,0.41,2.33,5.33,7.67
7209,0.42,2.49,5.82,8.18
7210,0.42,2.69,6.32,8.68
7211,0.42,2.65,6.3,8.7
7212,0.42,2.66,6.31,8.69
7213,0.42,2.71,6.75,9.25
7214,0.42,2.73,6.76,9.24
7215,0.43,2.9,7.26,9.74
7216,0.43,2.83,6.8,9.2
7217,0.43,2.91,7.26,9.74
7218,0.42,2.75,6.77,9.23
7219,0.42,2.72,6.76,9.24
7220,0.42,2.69,6.32,8.68
7221,0.42,2.67,6.31,8.69
7222,0.42,2.64,6.3,8.7
7224,0.42,2.71,6.33,8.67
7226,0.42,2.77,6.35,8.65
7228,0.43,3.01,6.87,9.13
7230,0.43,2.95,6.85,9.15
7232,0.43,2.89,6.83,9.17
7234,0.43,2.84,6.81,9.19
7236,0.43,2.97,7.29,9.71
7238,0.43,3.15,7.35,9.65
7240,0.43,3.09,7.33,9.67
7200B,0.41,2.04,4.11,5.89
7201B,0.4,1.91,4.04,5.96
7202B,0.4,1.89,4.03,5.97
7203B,0.41,1.94,4.46,6.54
7204B,0.41,2.11,4.53,6.47
7205B,0.42,2.4,5.49,7.51
7206B,0.42,2.38,5.48,7.52
7207B,0.42,2.35,5.47,7.53
7208B,0.42,2.47,5.94,8.06
7209B,0.43,2.5,5.95,8.05
7210B,0.43,2.7,6.46,8.54
7211B,0.43,2.66,6.44,8.56
7212B,0.43,2.67,6.45,8.55
7213B,0.43,2.73,6.9,9.1
7214B,0.43,2.74,6.9,9.1
7215B,0.44,2.92,7.4,9.6
7216B,0.43,2.84,6.94,9.06
7217B,0.44,2.93,7.41,9.59
7218B,0.43,2.77,6.91,9.09
7220B,0.43,2.71,6.46,8.54
7221B,0.43,2.68,6.45,8.55
7222B,0.43,2.66,6.44,8.56
7224B,0.43,2.72,6.47,8.53
7226B,0.43,2.79,6.49,8.51
7228B,0.44,3.03,7,9
7230B,0.44,2.96,6.98,9.02
7232B,0.44,2.9,6.96,9.04
7234B,0.43,2.86,6.95,9.05
7236B,0.44,2.98,7.43,9.57
7238B,0.44,3.17,7.49,9.51
7240B,0.44,3.1,7.47,9.53
7300,0.37,1.47,2.93,5.07
7301,0.36,1.43,2.88,5.12
7302,0.38,1.76,3.84,6.16
7303,0.38,1.73,3.82,6.18
7304,0.39,1.79,3.85,6.15
7305,0.39,1.86,4.28,6.72
7306,0.4,2.1,5.21,7.79
7307,0.4,2.04,4.78,7.22
7308,0.4,2.07,4.8,7.2
7309,0.4,1.99,4.75,7.25
7310,0.4,2.01,4.76,7.24
7311,0.4,2.07,4.8,7.2
7312,0.4,2.08,4.8,7.2
7313,0.4,2.07,4.79,7.21
7314,0.4,2.08,4.8,7.2
7315,0.4,2.09,4.81,7.19
7316,0.4,2.1,4.81,7.19
7317,0.4,2.11,4.82,7.18
7318,0.4,2.12,4.82,7.18
7319,0.4,2.13,4.83,7.17
7320,0.4,2.07,4.8,7.2
7321,0.4,2.08,4.8,7.2
7322,0.4,2.05,4.39,6.61
7324,0.41,2.22,4.87,7.13
7326,0.41,2.23,4.87,7.13
7328,0.41,2.23,4.88,7.12
7330,0.41,2.23,4.88,7.12
7332,0.41,2.39,5.36,7.64
7334,0.41,2.24,4.88,7.12
7336,0.41,2.37,5.35,7.65
7340,0.41,2.37,4.94,7.06
7300B,0.38,1.47,3.06,4.94
7301B,0.38,1.45,3.01,4.99
7302B,0.4,1.78,3.97,6.03
7303B,0.4,1.76,3.96,6.04
7304B,0.4,1.81,3.99,6.01
7305B,0.4,1.89,4.43,6.57
7306B,0.41,2.12,5.36,7.64
7307B,0.41,2.06,4.92,7.08
7308B,0.41,2.09,4.93,7.07
7309B,0.41,2.01,4.89,7.11
7310B,0.41,2.03,4.91,7.09
7311B,0.41,2.09,4.94,7.06
7312B,0.41,2.1,4.94,7.06
7313B,0.41,2.09,4.93,7.07
7314B,0.41,2.1,4.94,7.06
7315B,0.41,2.11,4.95,7.05
7316B,0.41,2.12,4.95,7.05
7317B,0.42,2.22,4.99,7.01
7318B,0.41,2.14,4.96,7.04
7319B,0.41,2.15,4.96,7.04
7320B,0.41,2.09,4.94,7.06
7321B,0.41,2.1,4.94,7.06
7322B,0.41,2.07,4.52,6.48
7324B,0.42,2.24,5,7
7326B,0.42,2.24,5,7
7328B,0.42,2.25,5,7
7330B,0.42,2.25,5.01,6.99
7332B,0.42,2.4,5.49,7.51
7334B,0.42,2.26,5.01,6.99
7336B,0.42,2.39,5.48,7.52
7338B,0.43,2.53,5.96,8.04
7340B,0.42,2.38,5.06,6.94
3200,0.4,1.99,4.77,7.23
3201,0.41,2.23,4.88,7.12
3202,0.4,2.17,4.85,7.15
3203,0.4,2.16,4.84,7.16
3204,0.41,2.27,4.89,7.11
3205,0.42,2.63,5.88,8.12
3206,0.42,2.57,5.85,8.15
3207,0.42,2.52,5.83,8.17
3208,0.43,2.84,6.81,9.19
3209,0.43,2.86,6.82,9.18
3210,0.43,2.88,6.82,9.18
3211,0.42,2.81,6.79,9.21
3212,0.43,3.15,7.78,10.22
3213,0.43,3.18,7.8,10.2
3214,0.43,3.18,7.8,10.2
3215,0.43,3.17,7.79,10.21
3216,0.43,3.09,6.9,9.1
3217,0.43,3.03,6.88,9.12
3218,0.43,2.97,6.43,8.57
3219,0.43,3.03,6.45,8.55
3220,0.42,2.69,5.9,8.1
3302,0.4,2.13,4.84,7.16
3303,0.4,2.16,4.84,7.16
3304,0.4,2.19,4.86,7.14
3305,0.41,2.2,4.86,7.14
3306,0.41,2.21,4.87,7.13
3307,0.4,2.18,4.85,7.15
3308,0.42,2.49,5.82,8.18
3309,0.41,2.47,5.81,8.19
3310,0.41,2.44,5.8,8.2
3311,0.41,2.43,5.79,8.21
3312,0.41,2.42,5.79,8.21
3313,0.41,2.41,5.78,8.22
3314,0.41,2.23,4.88,7.12
3315,0.41,2.23,4.88,7.12
5200,0.4,1.99,2.78,4.22
5201,0.39,1.89,2.74,4.26
5202,0.4,2.17,3.23,4.77
5203,0.4,2.16,3.23,4.77
5204,0.4,2.02,3.18,4.82
5206,0.41,2.34,3.69,5.31
5207,0.41,2.33,3.69,5.31
5208,0.41,2.45,3.73,5.27
5209,0.42,2.49,3.74,5.26
5210,0.42,2.69,4.21,5.79
5211,0.42,2.7,4.22,5.78
5212,0.42,2.61,3.77,5.23
5213,0.42,2.72,4.22,5.78
5214,0.42,2.73,4.22,5.78
5215,0.43,2.87,4.26,5.74
5216,0.43,2.83,4.25,5.75
5217,0.43,3.03,4.73,6.27
5218,0.42,2.75,4.23,5.77
5219,0.42,2.72,4.22,5.78
5220,0.42,2.69,4.21,5.79
5302,0.38,1.73,2.69,4.31
5303,0.38,1.73,2.67,4.33
5304,0.4,1.97,2.77,4.23
5305,0.4,2.05,3.19,4.81
5306,0.4,2.1,3.21,4.79
5307,0.4,2.04,3.19,4.81
5308,0.4,2.07,3.2,4.8
5309,0.4,2.09,3.2,4.8
5310,0.4,2.11,3.21,4.79
5311,0.4,2.07,3.2,4.8
5312,0.4,2.08,3.2,4.8
5313,0.4,2.07,3.2,4.8
5314,0.4,2.08,3.2,4.8
5315,0.4,2.09,3.2,4.8
1200,0.38,1.98,3.45,5.55
1201,0.39,2.18,3.93,6.07
1202,0.39,2.13,3.9,6.1
1203,0.4,2.48,4.85,7.15
1204,0.41,2.56,4.89,7.11
1205,0.41,2.57,4.89,7.11
1206,0.41,2.79,5.8,8.2
1207,0.43,3.27,6.82,9.18
1208,0.43,3.35,7.27,9.73
1209,0.42,2.92,6.68,9.32
1210,0.43,3.58,7.77,10.23
1211,0.43,3.69,8.25,10.75
1212,0.44,3.81,8.28,10.72
1213,0.44,4.15,9.26,11.74
1214,0.44,3.98,8.77,11.23
1215,0.44,3.99,8.77,11.23
1216,0.44,4.33,9.75,12.25
1217,0.44,4.07,9.24,11.76
1218,0.44,3.86,8.3,10.7
1219,0.44,3.94,8.76,11.24
1220,0.44,3.96,8.76,11.24
1221,0.44,4.01,8.78,11.22
1222,0.44,4.01,8.78,11.22
1300,0.38,1.91,3.42,5.58
1301,0.37,1.8,3.36,5.64
1302,0.39,2.05,3.87,6.13
1303,0.39,2.1,4.28,6.72
1304,0.4,2.43,4.83,7.17
1305,0.4,2.4,4.82,7.18
1306,0.41,2.61,5.31,7.69
1307,0.41,2.77,5.79,8.21
1308,0.42,2.87,6.24,8.76
1309,0.41,2.79,6.21,8.79
1310,0.41,2.73,5.36,7.64
1311,0.42,2.85,6.24,8.76
1312,0.42,3.02,6.72,9.28
1313,0.42,3.06,6.74,9.26
1314,0.42,2.96,6.7,9.3
1315,0.42,3.04,6.73,9.27
1316,0.42,2.99,6.29,8.71
1318,0.42,2.89,6.25,8.75
1319,0.42,2.84,6.23,8.77
1320,0.42,2.84,6.23,8.77
1321,0.41,2.8,6.21,8.79
1322,0.42,3.03,7.14,9.86
2200,0.37,1.59,3.3,5.7
2201,0.38,1.81,3.79,6.21
2202,0.39,2.11,4.32,6.68
2203,0.39,2.08,4.3,6.7
2204,0.4,2.19,4.75,7.25
2205,0.41,2.65,5.35,7.65
2206,0.42,2.82,5.83,8.17
2207,0.41,2.72,5.79,8.21
2208,0.42,3.07,6.76,9.24
2209,0.43,3.34,7.71,10.29
2210,0.43,3.61,8.23,10.77
2211,0.43,3.69,8.26,10.74
2212,0.43,3.51,7.76,10.24
2213,0.43,3.36,7.71,10.29
2214,0.43,3.55,8.21,10.79
2215,0.44,3.75,8.71,11.29
2216,0.44,3.83,8.73,11.27
2217,0.43,3.63,8.23,10.77
2218,0.43,3.51,8.19,10.81
2219,0.43,3.41,8.16,10.84
2220,0.43,3.32,7.69,10.31
2221,0.43,3.25,7.67,10.33
2222,0.42,3.18,7.64,10.36
2300,0.35,1.37,2.43,4.57
2301,0.36,1.52,3.23,5.77
2302,0.38,1.83,3.79,6.21
2303,0.38,1.86,3.8,6.2
2304,0.38,1.9,4.2,6.8
2305,0.38,1.95,4.22,6.78
2306,0.39,2,4.25,6.75
2307,0.38,1.98,4.23,6.77
2308,0.39,2.14,4.71,7.29
2309,0.39,2.16,4.72,7.28
2310,0.39,2.15,4.71,7.29
2311,0.39,2.16,4.72,7.28
2312,0.39,2.16,4.72,7.28
2313,0.4,2.29,5.18,7.82
2315,0.4,2.29,5.18,7.82
2316,0.4,2.36,5.22,7.78
2317,0.4,2.35,5.21,7.79
2318,0.4,2.34,5.2,7.8
2319,0.4,2.32,5.19,7.81
2320,0.4,2.26,5.16,7.84
2321,0.4,2.26,5.17,7.83
2322,0.4,2.3,5.18,7.82
NU1005,0.42,3.2,5.93,8.07
NU1006,0.43,3.47,6.87,9.13
NU1007,0.43,3.68,7.36,9.64
NU1008,0.44,3.8,7.84,10.16
NU1009,0.44,3.94,7.88,10.12
NU1010,0.44,4.28,8.4,10.6
NU1011,0.44,4.49,8.9,11.1
NU1012,0.45,4.81,9.87,12.13
NU1013,0.45,5.12,10.39,12.61
NU1014,0.44,4.45,8.89,11.11
NU1015,0.45,4.71,9.4,11.6
NU1016,0.45,4.61,9.37,11.63
NU1017,0.45,4.84,9.87,12.13
NU1018,0.45,4.74,9.85,12.15
NU1019,0.45,4.95,10.35,12.65
NU1020,0.45,5.16,10.85,13.15
NU1021,0.45,5.03,10.37,12.63
NU1022,0.45,4.62,9.82,12.18
NU1024,0.45,4.95,10.8,13.2
NU1026,0.45,4.8,10.32,12.68
NU1028,0.45,5.1,10.83,13.17
NU1030,0.45,5.16,11.3,13.7
NU1032,0.45,4.95,10.8,13.2
NU1034,0.45,4.84,10.32,12.68
NU1036,0.45,4.55,9.8,12.2
NU1038,0.45,4.75,10.3,12.7
NU1040,0.45,4.86,10.78,13.22
NU1044,0.45,4.61,10.27,12.73
NU1048,0.45,4.95,11.25,13.75
NU1052,0.45,4.8,10.76,13.24
NU1056,0.45,5.1,11.29,13.71
NU1060,0.45,4.7,10.29,12.71
NU1064,0.45,4.95,10.8,13.2
NU1068,0.45,4.73,10.3,12.7
NU1072,0.45,4.95,10.8,13.2
NU1076,0.45,5.18,11.3,13.7
NU1080,0.45,4.95,10.8,13.2
NU1084,0.45,5.15,11.3,13.7
NU1088,0.45,5.19,11.31,13.69
NU1096,0.45,5.42,11.81,14.19
NU10/500,0.46,5.61,12.31,14.69
NU204,0.4,2.49,4.44,6.56
NU205,0.42,2.89,5.41,7.59
NU206,0.42,2.99,5.44,7.56
NU207,0.41,2.85,5.39,7.61
